"x","y","color","pen down?"
"604","0","15","true"
"605","0","15","true"
"606","0","15","true"
"607","0","15","true"
"608","0","15","true"
"609","0","15","true"
"610","0","15","true"
"611","2","15","true"
"612","8","15","true"
"613","334","15","true"
"614","1493","15","true"
"615","1491","15","true"
"616","1485","15","true"
"617","1159","15","true"
"618","0","15","true"
"619","0","15","true"
"620","0","15","true"
"621","0","15","true"
"622","0","15","true"
"623","0","15","true"
"624","0","15","true"
"625","0","15","true"
"626","1","15","true"
"627","3","15","true"
"628","170","15","true"
"629","1498","15","true"
"630","1497","15","true"
"631","1495","15","true"
"632","1328","15","true"
"633","0","15","true"
"634","0","15","true"
"635","0","15","true"
"636","0","15","true"
"637","0","15","true"
"638","1","15","true"
"639","1","15","true"
"640","1","15","true"
"641","2","15","true"
"642","3","15","true"
"643","69","15","true"
"644","1494","15","true"
"645","1493","15","true"
"646","1491","15","true"
"647","1425","15","true"
"648","0","15","true"
"649","0","15","true"
"650","0","15","true"
"651","0","15","true"
"652","0","15","true"
"653","0","15","true"
"654","0","15","true"
"655","0","15","true"
"656","0","15","true"
"657","0","15","true"
"658","40","15","true"
"659","1500","15","true"
"660","1500","15","true"
"661","1500","15","true"
"662","1460","15","true"
"663","0","15","true"
"664","0","15","true"
"665","0","15","true"
"666","0","15","true"
"667","0","15","true"
"668","0","15","true"
"669","0","15","true"
"670","0","15","true"
"671","0","15","true"
"672","0","15","true"
"673","19","15","true"
"674","1500","15","true"
"675","1500","15","true"
"676","1500","15","true"
"677","1481","15","true"
"678","0","15","true"
